chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2302
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2293
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2255
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 3362
board_0_hybrid_0_chip_0, VMux, NTC, 0, 331
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3240
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3226
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3210
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1875
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 989
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1533
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1494
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1484
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 828
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 91
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 3378
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3350
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 2540
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 2520
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1371
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3332
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3298
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2570
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1986
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3409
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1032
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 23
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 415
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 938
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2409
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1195
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1202
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 1951
board_0_hybrid_0_chip_0, IMux, IIND, 0, 1912
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 19
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 862
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 926
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 208
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR_STAR, 0, 208
board_0_hybrid_0_chip_0, IMux, I_FC, 0, 0
board_0_hybrid_0_chip_0, IMux, I_KRUMMENAKER, 0, 0
board_0_hybrid_0_chip_0, IMux, I_LDAC, 0, 328
board_0_hybrid_0_chip_0, IMux, I_NTC, 0, 204
board_0_hybrid_0_chip_0, IMux, I_PREAMP_L, 0, 717
board_0_hybrid_0_chip_0, IMux, I_PREAMP_M, 0, 711
board_0_hybrid_0_chip_0, IMux, I_PREAMP_R, 0, 737
board_0_hybrid_0_chip_0, IMux, I_PREAMP_T, 0, 739
board_0_hybrid_0_chip_0, IMux, I_PREAMP_TL, 0, 721
