chip, type, var, external, adc
board_0_hybrid_0_chip_0, VMux, GDAC_L, 0, 2262
board_0_hybrid_0_chip_0, VMux, GDAC_M, 0, 2260
board_0_hybrid_0_chip_0, VMux, GDAC_R, 0, 2230
board_0_hybrid_0_chip_0, VMux, GNDA0, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA1, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA10, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA11, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA2, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA3, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA4, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA5, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA6, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA7, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA8, 0, 0
board_0_hybrid_0_chip_0, VMux, GNDA9, 0, 0
board_0_hybrid_0_chip_0, VMux, INJCAP_VDDA_HALF, 0, 2990
board_0_hybrid_0_chip_0, VMux, NTC, 0, 986
board_0_hybrid_0_chip_0, VMux, RADSENS_ACB, 0, 3873
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOA, 0, 3875
board_0_hybrid_0_chip_0, VMux, RADSENS_SLDOD, 0, 3881
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_BOTTOM, 0, 1731
board_0_hybrid_0_chip_0, VMux, RPOLYTSENS_TOP, 0, 882
board_0_hybrid_0_chip_0, VMux, TEMPSENS_ACB, 0, 1837
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOA, 0, 1805
board_0_hybrid_0_chip_0, VMux, TEMPSENS_SLDOD, 0, 1800
board_0_hybrid_0_chip_0, VMux, VCAL_HIGH, 0, 842
board_0_hybrid_0_chip_0, VMux, VCAL_MED, 0, 106
board_0_hybrid_0_chip_0, VMux, VDDA_HALF, 0, 2999
board_0_hybrid_0_chip_0, VMux, VDDD_HALF, 0, 3015
board_0_hybrid_0_chip_0, VMux, VINA_QUARTER, 0, 1536
board_0_hybrid_0_chip_0, VMux, VIND_QUARTER, 0, 1527
board_0_hybrid_0_chip_0, VMux, VOFS_QUARTER, 0, 1530
board_0_hybrid_0_chip_0, VMux, VREFA, 0, 3344
board_0_hybrid_0_chip_0, VMux, VREFD, 0, 3328
board_0_hybrid_0_chip_0, VMux, VREF_ADC, 0, 4095
board_0_hybrid_0_chip_0, VMux, VREF_CORE, 0, 2623
board_0_hybrid_0_chip_0, VMux, VREF_KRUM, 0, 1971
board_0_hybrid_0_chip_0, VMux, VREF_PRE, 0, 3464
board_0_hybrid_0_chip_0, VMux, VREF_VCAL_DAC, 0, 1048
board_0_hybrid_0_chip_0, IMux, CDR_CP, 0, 50
board_0_hybrid_0_chip_0, IMux, CDR_CPBUFF, 0, 420
board_0_hybrid_0_chip_0, IMux, CDR_CPFD, 0, 914
board_0_hybrid_0_chip_0, IMux, CDR_VCO, 0, 2267
board_0_hybrid_0_chip_0, IMux, CDR_VCOBUFF, 0, 1155
board_0_hybrid_0_chip_0, IMux, CML_BIAS_0, 0, 1172
board_0_hybrid_0_chip_0, IMux, CML_BIAS_1, 0, 0
board_0_hybrid_0_chip_0, IMux, CML_BIAS_2, 0, 0
board_0_hybrid_0_chip_0, IMux, IINA, 0, 561
board_0_hybrid_0_chip_0, IMux, IIND, 0, 444
board_0_hybrid_0_chip_0, IMux, INJ_CAP, 0, 0
board_0_hybrid_0_chip_0, IMux, INJ_CAP_PAR, 0, 0
board_0_hybrid_0_chip_0, IMux, IREF_4UA, 0, 49
board_0_hybrid_0_chip_0, IMux, ISHUNTA, 0, 0
board_0_hybrid_0_chip_0, IMux, ISHUNTD, 0, 0
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR, 0, 230
board_0_hybrid_0_chip_0, IMux, I_COMPARATOR_STAR, 0, 228
